功能点 ID,功能名称,所属模块,飞书文档链接
recv7D8msMw1hD,登录注册流程,用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/JlajwglWhi1grnkhNd4j42Bfpxg
recv7D8msMNEvJ,KYC流程,用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/W8f9wBn82iA7Nmk5YIzjjpvupMf
recv7D8msMXEss,用户自我封禁(Gambling Games),用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/KXizw4103idr5JkDezGjwIoxpEc
recv8V69hxPImE,KYC 流程优化 V1.1,用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Etc9wjrqViyFWwkQ8GFjsOarpM9
recv8NU2NIQ7Iv,用户配置(Account Setting),用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/J0PqwmeWOieKwEkpLCbj3DbXpwh
recv7D8msMtnYd,用户信息编辑,用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/ZATiwR3a9iew71knLO1jJZyMp29
recv8V4hBEt6bB,Transaction 优化V1.1,用户系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/CQolw6dA3iKRbukORANjYMiTpHb
recv7D8msMtUnE,支付路由,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/G3XqwXbveixaj1kyGeqj6LEJpIf
recv7D8msMQ7qN,支付代收代付,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Rp4VwGFkeimPhCkhlk6j5cRIple
recv8NWvDvCc7t,主钱包划转,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/BAROw4kzFiiCNQkhrdZjmyhDpsc
recv7D8msMRWFh,Bonus 钱包划转,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/Xk2dwh87Qihr4NkoVAEje4Zwp7e
recv7D8msMp6Yl,钱包规则参数,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/CBpswUW4BiIxuXkVjjejaYXEp6d
recv7D8msMLDQW,币种钱包设置,财务系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/LO8cwf8u7ieCykkbhoXjv7dJpJt
recv7D8msMLm0W,订单清结算,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/XaK3wfF1OiMsNvksK7UjMwEXpph
recv7D8msM6gRi,新版视觉（比赛卡片、详情页分组作为重点）,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/FNjewPfCCiVb8KkYkACjPm9MpGd
recv8JF3Wn5t91,UOF数据呈现,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/NJevwH3aXiOMznkATvojs00mpgb
recv8JF72Yjch8,MTS注单单关/串关,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/IV9kw5ihJicm3Fk9AHzjCqDOpOn
recv8JFaKPtDCE,赛果回滚冲正,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/CTT6wesHPibXjqkLa7Fjp52npfc
recv8VbAPtQlDH,盘口展示优化,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/ISQ7wOPqGiQndKkbrfgjBbd6pZf
recv7D8msMeoGe,MTS高级投注,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/SXFOwOHZzioSPzkDZNLjahYYpQg
recv7D8mS727Rn,CASHOUT,体育注单系统,https://kjpp4yydjn38.jp.larksuite.com/wiki/VCw9wcImgi1L6dkhyanjLCLLpQd
